text,intent
open calculator,OPEN_CALCULATOR
open the calculator,OPEN_CALCULATOR
launch calculator,OPEN_CALCULATOR
start calculator,OPEN_CALCULATOR
can you open calculator,OPEN_CALCULATOR
show me the calculator,OPEN_CALCULATOR
bring up calculator,OPEN_CALCULATOR
i need a calculator,OPEN_CALCULATOR
open calc,OPEN_CALCULATOR
could you open the calculator for me,OPEN_CALCULATOR
please open calculator,OPEN_CALCULATOR
run calculator,OPEN_CALCULATOR
start the calculator app,OPEN_CALCULATOR
open up calculator,OPEN_CALCULATOR
get me a calculator,OPEN_CALCULATOR
launch the calculator application,OPEN_CALCULATOR
i want to do some math open calculator,OPEN_CALCULATOR
open calculator app,OPEN_CALCULATOR
pull up calculator,OPEN_CALCULATOR
open calculator please,OPEN_CALCULATOR
open browser,OPEN_BROWSER
open the browser,OPEN_BROWSER
launch browser,OPEN_BROWSER
start the browser,OPEN_BROWSER
please bring up the web browser,OPEN_BROWSER
open google chrome,OPEN_BROWSER
i want to browse the internet,OPEN_BROWSER
open the internet,OPEN_BROWSER
can you open a browser,OPEN_BROWSER
show me the browser,OPEN_BROWSER
open web browser,OPEN_BROWSER
launch the internet browser,OPEN_BROWSER
open up the browser,OPEN_BROWSER
start browsing,OPEN_BROWSER
open browser please,OPEN_BROWSER
get me the browser,OPEN_BROWSER
i need to search something open browser,OPEN_BROWSER
open chrome browser,OPEN_BROWSER
pull up the browser,OPEN_BROWSER
bring up google,OPEN_BROWSER
open text editor,OPEN_TEXT_EDITOR
open the text editor,OPEN_TEXT_EDITOR
launch text editor,OPEN_TEXT_EDITOR
can you start the text editor,OPEN_TEXT_EDITOR
open notepad,OPEN_TEXT_EDITOR
i want to write something open text editor,OPEN_TEXT_EDITOR
start notepad,OPEN_TEXT_EDITOR
open a text file,OPEN_TEXT_EDITOR
bring up the text editor,OPEN_TEXT_EDITOR
show me the text editor,OPEN_TEXT_EDITOR
open editor,OPEN_TEXT_EDITOR
launch notepad,OPEN_TEXT_EDITOR
open up text editor,OPEN_TEXT_EDITOR
i need to type something open editor,OPEN_TEXT_EDITOR
